sex,age,friends,postsOnTheWall,weeklyPostActivity,pages,occupation,relation,alcohol,smoking,lifeMain,peopleMain,political,followers,goodUser
1,18,255,12,0.13144712790307597,185,work,5,0,0,0,0,0,82,0
2,59,662,5627,5.1795649043516185,199,university,4,0,0,0,0,1,91,0
1,17,57,198,0.14781938923232113,410,school,0,0,0,0,0,0,362,0
1,0,21,8606,16.414688064734886,312,unknown,0,0,0,0,0,0,170,0
1,0,77,47,0.05240968389712463,2,unknown,6,0,0,0,0,0,1,0
1,0,116,703,0.6661353233457854,21,university,0,4,2,0,0,0,71,0
1,0,41,98,0.10510682863072175,56,unknown,0,0,0,0,0,0,43,0
1,0,64,89,0.3034707094488172,31,unknown,0,0,0,0,0,0,0,0
1,0,132,36,0.036602495288976196,11,school,0,0,0,0,0,0,1018,0
1,0,21,219,0.2245834993037551,32,unknown,4,0,0,0,0,0,105,0
2,0,79,131,0.43720877518617707,46,unknown,0,0,0,0,0,0,8,0
1,0,171,17,0.11602619752733384,94,unknown,0,0,0,0,0,0,28,0
1,0,25,39,0.7498870028710506,162,university,0,0,0,0,0,0,15,0
1,51,66,3953,6.394249722415635,35,unknown,0,2,2,0,0,0,0,0
1,0,146,5646,9.867397061742574,909,unknown,0,0,0,0,0,0,7,0
1,17,676,24,0.02386581308480723,479,school,0,0,0,0,0,0,197,0
2,0,10,122,0.07898663314890231,22,work,3,0,0,4,2,0,13,0
1,0,107,437,1.025101726755905,40,unknown,0,0,0,0,0,0,27,0
2,23,595,1119,0.49494438395138984,113,work,0,0,0,0,0,0,254,0
1,0,139,1441,4.427056738910099,238,unknown,0,0,0,0,0,0,5,0
2,0,40,78,0.038146515858721135,16,unknown,0,0,0,0,0,0,0,0
2,15,110,18,0.0632638560434861,217,school,0,0,0,0,0,0,116,0
1,0,75,293,0.5866154437907158,97,unknown,0,0,0,0,0,0,10,0
1,0,157,930,0.4265460763775468,98,unknown,0,0,0,0,0,0,95,0
1,0,50,61,0.03228908810717664,36,university,0,0,0,0,0,0,105,0
1,0,86,84,0.04917018670443464,30,unknown,6,0,0,0,0,0,34,0
1,0,221,22,0.07988748842486694,180,work,0,0,0,0,0,0,261,0
2,14,60,1709,1.7215765149548274,99,school,0,0,0,0,0,0,18,0
1,0,59,318,1.0585544931988127,109,unknown,0,0,0,0,0,0,3,0
1,0,53,251,0.19900083711682745,53,school,0,0,0,0,0,0,14,0
1,0,47,8,0.8427819118907603,635,work,0,0,0,0,0,3,134,0
1,0,45,53,0.2301706978708004,159,unknown,7,0,0,0,0,0,14,0
1,19,32,4,0.13618824241507152,137,unknown,0,0,0,0,0,0,34,0
2,0,53,241,0.14439324491697278,31,work,4,0,0,0,0,0,32,0
1,16,305,1128,1.7780260880492462,904,work,0,0,0,0,0,0,177,0
1,19,94,2577,1.0599179077364607,108,school,0,0,0,0,0,0,564,0
1,0,44,479,0.28662969463856286,0,unknown,0,0,0,0,0,0,56,0
1,0,42,102,0.05880997448077665,45,unknown,0,0,0,0,0,0,38,0
1,0,261,1532,0.9482747084017731,6,unknown,0,3,1,6,2,0,33,0
1,0,49,583,0.33809004242227547,169,university,0,0,0,0,0,0,125,0
1,0,55,43,0.16526661719759472,1,unknown,0,0,0,0,0,0,3,0
2,0,2,0,0,1,unknown,0,0,0,0,0,0,0,0
1,0,121,18,0.06466787275797665,140,unknown,0,1,1,1,2,3,72,0
1,0,109,319,0.6931781173957763,71,work,0,1,1,5,1,3,19,0
1,0,179,6355,5.007134595933041,507,unknown,1,2,2,1,2,0,112,0
1,16,112,159,0.20386321504826793,45,school,0,0,0,0,0,0,347,0
1,0,127,1226,0.6812224492812231,157,work,0,0,0,0,0,0,68,0
1,0,46,1916,3.015816080952993,108,unknown,0,0,0,0,0,0,3,0
1,16,114,60,0.0716446197993196,393,school,0,1,1,1,2,3,67,0
1,0,152,3,0.001365193616609569,145,work,0,0,0,0,0,0,427,0
2,20,399,38,0.03285552028130377,23,university,0,0,0,0,0,0,21,0
1,0,16,56,0.05092315639497606,229,unknown,0,0,0,0,0,0,4,0
1,0,100,1,0.013432332526097827,60,university,0,0,0,0,0,0,27,0
1,46,1707,685,0.284999179153824,146,work,4,0,0,0,0,8,60,0
1,25,95,149,0.09158981255997162,55,university,0,0,0,0,0,0,47,0
1,0,161,418,0.26036795833835824,65,unknown,0,0,0,0,0,0,63,0
1,0,95,25,0.04390150656352929,219,unknown,0,0,0,0,0,0,42,0
1,0,76,133,0.6695500341994216,44,unknown,0,0,0,0,0,0,42,0
2,0,85,781,0.49475438304817504,7,work,0,0,0,0,0,0,986,0
1,0,6,7,0.03346554288547347,60,unknown,0,0,0,0,0,0,4,0
1,0,96,878,0.3515509324632302,141,unknown,0,0,0,0,0,0,17,0
1,0,329,707,0.286839273302566,9,university,4,0,0,0,0,3,63,0
1,26,62,2486,0.9461443640583705,151,unknown,0,0,0,0,0,0,145,0
2,0,270,11,0.027056738441706665,311,unknown,0,0,0,0,0,0,53,0
1,0,109,13506,14.16357426222129,82,unknown,0,0,0,0,0,0,8,0
2,0,71,0,0,5,unknown,0,0,0,0,0,0,114,0
1,0,49,483,1.170310341224414,34,unknown,0,0,0,0,0,0,0,0
1,0,24,7,0.006331681491714008,38,unknown,4,0,0,0,0,0,23,0
2,0,135,883,1.1354657836139281,32,school,0,1,1,1,2,0,66,0
1,0,217,2,0.38214701160152326,150,university,0,0,0,0,0,0,80,0
1,67,21,67,0.33050163934819327,86,unknown,5,0,0,0,0,0,11,0
1,24,176,452,0.18691789809089046,103,university,1,0,0,0,0,0,208,0
2,20,104,1189,1.198985971144253,118,university,6,0,0,1,2,1,6,0
1,42,130,481,0.2520155042802443,231,unknown,0,0,0,0,0,0,15,0
