sex,age,friends,postsOnTheWall,weeklyPostActivity,pages,occupation,relation,alcohol,smoking,lifeMain,peopleMain,political,followers,goodUser
1,0,2102,1653,0.6871881779567717,543,work,0,0,0,0,0,0,1034,1
1,32,73,32903,13.23250796378367,2085,university,1,3,1,6,0,8,671,1
1,0,99,7,0.01711288291950084,125,university,0,0,0,0,0,0,224,1
2,28,196,1136,0.4549196361666302,120,work,0,0,0,0,0,0,80,1
1,0,420,5822,2.3741648830959523,992,unknown,0,3,3,6,2,0,1610,1
1,0,3,4524,2.1209475837921223,234,unknown,0,0,0,0,0,0,5,1
1,0,41,8,0.0033480813604696105,5,university,0,0,0,0,0,0,15,1
2,0,6,4,0.0034135207819807195,1,unknown,4,0,0,0,0,0,0,1
1,0,111,343,0.23278478762347052,37,unknown,0,0,0,0,0,0,10,1
1,0,155,3919,3.742143607762606,26,unknown,4,0,0,0,0,0,10,1
2,116,146,1090,0.44336260253395743,42,work,0,0,0,0,0,0,44,1
1,0,368,165,0.07067979285347174,142,university,0,0,0,0,0,0,127,1
1,0,182,1653,0.8288780886509756,205,university,0,0,0,0,0,0,53,1
1,27,177,42,0.030563455854963197,24,university,4,4,3,1,2,8,8,1
1,0,250,1113,0.47977879022235775,1024,school,0,0,0,0,0,0,732,1
1,0,144,402,0.16487950520426098,39,university,0,0,0,0,0,0,243,1
1,0,29,156,0.07169756648935406,9,work,0,0,0,0,0,0,82,1
1,0,146,281,0.11777094675284272,95,work,0,0,0,0,0,0,157,1
1,33,196,72,0.029979430779437436,59,university,0,0,0,0,0,0,144,1
1,0,482,320,0.20179274254824572,164,work,0,0,0,0,0,0,709,1
1,0,661,998,0.41087339830470976,112,work,0,0,0,0,0,0,673,1
1,0,31,8580,4.082945223442569,437,university,0,0,0,0,0,0,63,1
2,27,72,10690,8.801047561891442,18,unknown,0,0,0,0,0,0,105,1
1,0,276,1738,0.7182513424439458,148,unknown,0,0,0,0,0,0,9,1
2,0,1,53,0.025352756657185883,50,unknown,7,0,0,2,4,0,269,1
1,0,113,297,0.12322722501848433,3,university,0,0,0,0,0,0,30,1
2,19,198,56,0.02343598012335936,81,work,2,0,0,0,0,4,6,1
1,0,71,6640,2.8276122654424567,0,university,0,0,0,0,0,0,0,1
1,0,140,721,0.31796151016261887,162,university,0,0,0,0,0,0,125,1
1,0,75,80,0.04043991962776599,46,university,0,0,0,0,0,0,137,1
2,0,26,5662,2.4005177968423688,65,work,0,0,0,0,0,0,332,1
1,0,31,2487,1.052205775026907,72,work,0,0,0,0,0,0,240,1
1,0,147,5370,2.280716195261156,35,unknown,0,0,0,0,0,0,43,1
1,42,112,652,0.2880013752212907,88,unknown,0,0,0,0,0,0,35,1
